FIPS,Date,Province_State,Lat,Long_,Confirmed,Deaths,Testing_Rate,Mortality_Rate
40.0,04-16-2020,OK,35.5653,-96.9289,2357,131,844.781079790925,5.557912600763682
41.0,04-16-2020,OR,44.572,-122.0709,1736,64,871.9080306477994,3.686635944700461
42.0,04-16-2020,PA,40.5908,-77.2098,28033,877,1123.8930186040957,3.128455748582028
44.0,04-16-2020,RI,41.6809,-71.5118,3529,139,2649.144153881444,3.938792859166903
45.0,04-16-2020,SC,33.8569,-80.945,3931,111,689.1502438008125,2.8237089799033326
46.0,04-16-2020,SD,44.2998,-99.4388,1311,7,1433.63428329157,0.5339435545385202
47.0,04-16-2020,TN,35.7478,-86.6923,6341,141,1295.505252227404,2.223624034064028
48.0,04-16-2020,TX,31.0545,-97.5635,12450,440,689.7978168910862,3.534136546184739
49.0,04-16-2020,UT,40.15,-111.8624,2683,20,1733.4279638868593,0.7454342154304883
50.0,04-16-2020,VT,44.0459,-72.7107,774,33,1884.567574694026,4.263565891472868
51.0,04-16-2020,VA,37.7693,-78.17,6889,208,587.3611871666816,3.0193061402235446
53.0,04-16-2020,WA,47.4009,-121.4905,11057,630,1646.2626250049177,5.697748032920322
54.0,04-16-2020,WV,38.4912,-80.9545,728,12,1383.6755611119593,1.6483516483516485
55.0,04-16-2020,WI,44.2685,-89.6165,3875,197,8.247066433041578e-08,5.083870967741936
56.0,04-16-2020,WY,42.756,-107.3025,296,2,1292.5347920521278,0.6756756756756757
1.0,04-17-2020,AL,32.3182,-86.9023,4557,148,1684.802837339403,3.247750713188501
2.0,04-17-2020,AK,61.3707,-152.4044,309,9,1580.9311266099985,2.912621359223301
4.0,04-17-2020,AZ,33.7298,-111.4312,4511,169,676.3554620958611,3.746397694524496
5.0,04-17-2020,AR,34.9697,-92.3731,1695,37,907.445152174929,2.182890855457228
6.0,04-17-2020,CA,36.1162,-119.6816,29293,1023,660.0589360196814,3.4888881302700305
8.0,04-17-2020,CO,39.0598,-105.3111,8691,372,738.1574087586797,4.280289955125992
9.0,04-17-2020,CT,41.5978,-72.7554,16809,1036,1555.611091056625,6.163364864060919
10.0,04-17-2020,DE,39.3185,-75.5071,2317,77,1370.9687357511675,3.323262839879154
12.0,04-17-2020,FL,27.7663,-81.6868,24759,725,1873.03252665772,2.9282281190678137
13.0,04-17-2020,GA,33.0406,-83.6431,17194,650,706.9851222849336,3.780388507618937
15.0,04-17-2020,HI,21.0943,-157.4983,541,9,1543.8067617563672,1.6635859519408502
16.0,04-17-2020,ID,44.2405,-114.4788,1609,41,1004.845088193272,2.54816656308266
17.0,04-17-2020,IL,40.3495,-88.9861,27578,1132,1109.1244773511964,4.104721154543476
18.0,04-17-2020,IN,39.8494,-86.2583,10154,637,837.1798629399722,6.273389797124286
19.0,04-17-2020,IA,42.0115,-93.2105,2332,64,831.5294349285863,2.74442538593482
20.0,04-17-2020,KS,38.5266,-96.7265,1730,84,693.0934251060493,4.855491329479769
21.0,04-17-2020,KY,37.6681,-84.6701,2522,137,868.9560929897236,5.432196669310072
22.0,04-17-2020,LA,31.1695,-91.8678,23118,1213,2870.988974751516,5.24699368457479
23.0,04-17-2020,ME,44.6939,-69.3819,827,29,1269.4142960087086,3.506650544135429
24.0,04-17-2020,MD,39.0639,-76.8021,11572,334,1043.3367797709536,2.886277220877981
25.0,04-17-2020,MA,42.2302,-71.5301,34402,1245,2167.088300718613,3.618975640951108
26.0,04-17-2020,MI,43.3266,-84.5361,30023,2227,1242.0708301311656,7.4176464710388705
27.0,04-17-2020,MN,45.6945,-93.9002,2070,111,870.3824928039243,5.36231884057971
28.0,04-17-2020,MS,32.7416,-89.6787,3793,140,1332.6858261553757,3.691009754811495
29.0,04-17-2020,MO,38.4561,-92.2884,5469,186,882.624598597549,3.4009873834339
30.0,04-17-2020,MT,46.9219,-110.4544,422,8,1182.9276882909328,1.895734597156398
31.0,04-17-2020,NE,41.1254,-98.2681,1066,24,859.1254543451922,2.25140712945591
32.0,04-17-2020,NV,38.3135,-117.0554,3524,142,986.5757150950196,4.029511918274688
33.0,04-17-2020,NH,43.4525,-71.5639,1287,37,982.7823706655312,2.874902874902875
34.0,04-17-2020,NJ,40.2989,-74.521,78467,3840,1772.6371536749382,4.893777001796933
35.0,04-17-2020,NM,34.8405,-106.2485,1597,44,2068.204947068514,2.7551659361302443
36.0,04-17-2020,NY,42.1657,-74.9481,230597,17131,3265.394600862048,7.428977827118306
37.0,04-17-2020,NC,35.6301,-79.8064,6045,177,735.8531943586706,2.9280397022332507
38.0,04-17-2020,ND,47.5289,-99.784,528,9,2035.229824972214,2.2900763358778624
39.0,04-17-2020,OH,40.3888,-82.7649,9107,552,695.1671132446621,6.061271549357637
40.0,04-17-2020,OK,35.5653,-96.9289,2465,136,919.1734328803813,5.517241379310345
41.0,04-17-2020,OR,44.572,-122.0709,1785,70,906.4219927058996,3.92156862745098
42.0,04-17-2020,PA,40.5908,-77.2098,29855,960,1170.7887596716012,3.215541785295595
44.0,04-17-2020,RI,41.6809,-71.5118,4177,160,2903.731589137225,3.8305003591094087
45.0,04-17-2020,SC,33.8569,-80.945,4099,116,719.9242059732439,2.829958526469871
46.0,04-17-2020,SD,44.2998,-99.4388,1411,7,1503.2097101205068,0.4961020552799433
47.0,04-17-2020,TN,35.7478,-86.6923,6661,142,1329.3822370356177,2.131812040234199
48.0,04-17-2020,TX,31.0545,-97.5635,13032,479,737.6081709805117,3.675567833026397
49.0,04-17-2020,UT,40.15,-111.8624,2793,23,1946.0326698726608,0.8234872896527032
50.0,04-17-2020,VT,44.0459,-72.7107,779,35,1984.307007473088,4.492939666238768
51.0,04-17-2020,VA,37.7693,-78.17,7491,231,619.6480942125119,3.0837004405286343
53.0,04-17-2020,WA,47.4009,-121.4905,11517,649,1707.4197787560156,5.6351480420248325
54.0,04-17-2020,WV,38.4912,-80.9545,775,16,1412.0202751629254,2.064516129032258
55.0,04-17-2020,WI,44.2685,-89.6165,4053,206,8.584554157247639e-08,5.0826548235874665
56.0,04-17-2020,WY,42.756,-107.3025,305,2,1292.5347920521278,0.6557377049180327
